"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[1279][1365][1307]","OCEAN ISLAND","COMOROS / ANJOUAN (NZWANI) / SHIELD STAGE","M^RO CHOUNGOUI STREAM BED, NORTH OF POMONI","-12.15","-12.15","44.3","44.3","SAE","","","s_AJ-35 [1279] / s_AJ35 [1365]","ANKARAMITE [1279]","","","","","","","","COARSELY PHYRIC [1279] ","VOL","","","","","WR [1279] ","47.33","2.26","","10.52","","2.67","9.45","9.45","12.3","11.97","0.18","","0.75","1.99","0.39","","0.19","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","630","","","","350","","81","","","","","","14","384","31","143","","","","","","","","","","","","","","290","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10085",
"[1279][1307]","OCEAN ISLAND","COMOROS / ANJOUAN (NZWANI) / SHIELD STAGE","M^RO GEGE STREAM BED, 2 KM WEST OF GEGE","-12.15","-12.15","44.3","44.3","SAE","","","s_AJ-110 [1279]","ANKARAMITE [1279]","","","","","","","","","VOL","","","","","WR [1279] ","46.53","2.44","","11.77","","2.84","9.04","9.04","11.45","10.28","0.16","","0.93","2.14","0.47","","1.08","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","244","","","","238","","108","","","","","","22","541","34","162","","","","","","","","","","","","","","360","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10086",
"[115]","OCEAN ISLAND","TRISTAN DA CUNHA GROUP / TRISTAN DA CUNHA","NEAR BIG POINT","-37.05","-37.05","-12.3","-12.3","SAE","","","s_TK46A [115]","ANKARAMITE [115]","","","","","","","","","VOL","","","","HE3_HE4(R/R(A)) from OLIVINE [115]","MIN [115] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.3","","","","","10107",
"[115]","OCEAN ISLAND","TRISTAN DA CUNHA GROUP / TRISTAN DA CUNHA","NEAR BIG POINT","-37.05","-37.05","-12.3","-12.3","SAE","","","s_TK46A [115]","ANKARAMITE [115]","","","","","","","","","VOL","","","","HE3_HE4(R/R(A)) from OLIVINE [115]","MIN [115] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.6","","","","","10108",
"[115]","OCEAN ISLAND","TRISTAN DA CUNHA GROUP / TRISTAN DA CUNHA","NEAR BIG POINT","-37.05","-37.05","-12.3","-12.3","SAE","","","s_TK46A [115]","ANKARAMITE [115]","","","","","","","","","VOL","","","","HE3_HE4(R/R(A)) from CLINOPYROXENE [115]","MIN [115] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.1","","","","","10109",
"[20009]","OCEAN ISLAND","HAWAIIAN ISLANDS / MAUI / HALEAKALA / REJUVENATED STAGE / KULA SERIES","NEAR SUMMIT","20.72","20.72","-156.17","-156.17","SAE","","","s_KA01 [20009]","ANKARAMITE [20009]","214000 [20009]","214000 [20009]","","PLEISTOCENE [20009]","","","","","VOL","","","","","WR [20009] ","43.48","2.43","","10.94","","","","13.07","12.33","13.03","0.17","","0.77","1.79","0.33","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1011250",
"[20009]","OCEAN ISLAND","HAWAIIAN ISLANDS / MAUI / HALEAKALA / REJUVENATED STAGE / KULA SERIES","NEAR SUMMIT","20.72","20.72","-156.17","-156.17","SAE","","","s_KA02 [20009]","ANKARAMITE [20009]","214000 [20009]","214000 [20009]","","PLEISTOCENE [20009]","","","","","VOL","","","","","WR [20009] ","42.65","2.45","","11","","","","13.22","12.14","12.8","0.17","","0.78","1.86","0.35","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1011252",
"[115]","OCEAN ISLAND","JAN MAYEN / JAN MAYEN","","71","71","-8.5","-8.5","SAE","","","s_JM151A [115]","ANKARAMITE [115]","","","","","","","","","VOL","","","","HE3_HE4(R/R(A)) from OLIVINE [115]","MIN [115] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.3","","","","","10114",
"[115]","OCEAN ISLAND","JAN MAYEN / JAN MAYEN","","71","71","-8.5","-8.5","SAE","","","s_JM151A [115]","ANKARAMITE [115]","","","","","","","","","VOL","","","","HE3_HE4(R/R(A)) from CLINOPYROXENE [115]","MIN [115] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.8","","","","","10115",
"[115]","OCEAN ISLAND","PRINCE EDWARD ISLANDS / PRINCE EDWARD","","-46.63","-46.63","37.93","37.93","SAE","","","s_WJ21E [115]","ANKARAMITE [115]","","","","","","","","","VOL","","","","HE3_HE4(R/R(A)) from OLIVINE [115]","MIN [115] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.4","","","","","10116",
"[2745]","CONTINENTAL FLOOD BASALT","DECCAN / SOUTHERN DECCAN","BOMBAY ISLAND","19.03","19.03","72.92","72.92","SAE","","","s_18 [2745]","ANKARAMITE [2745]","","","","CENOZOIC [2745]","","","","","VOL","","","","","WR [2745] ","45.29","2.9","","11.09","","1.66","9.65","","11.06","16.11","","","0.76","1.48","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","102734",
"[2745]","CONTINENTAL FLOOD BASALT","DECCAN / SOUTHERN DECCAN","BOMBAY ISLAND","19.03","19.03","72.92","72.92","SAE","","","s_21 [2745]","ANKARAMITE [2745]","","","","CENOZOIC [2745]","","","","","VOL","","","","","WR [2745] ","43.85","3.05","","9.95","","2.8","9.63","","13.08","13.36","1.71","","0.48","1.85","0.24","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","102737",
