"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[20030]","INTRAPLATE VOLCANICS","CENTRAL ASIAN FOLDBELT - CENOZOIC/QUATERNARY / CHINA - CENOZOIC/QUATERNARY / TIBET","XUNGBA-YADE AREA","31.8367","31.8367","82.1067","82.1067","SAE","4649","4649","s_XB1258 [20030]","BASALTIC-TRACHYANDESITE [20030]","","","","CENOZOIC [20030]","","","","","VOL","","","","","WR [20030] ","51.9","0.81","","11.9","","","","5.77","7.44","8.09","0.1","","5.39","1.99","1.03","","","","","","","","","","","","","","","","2.72","","","","","","","","","","","","","","18.1","9.7","","","","","","","","","","","","","18.7","","141","289","","","30","155","77","81","17.3","","","","","269","2532","31.6","304","14.6","","","","","","","","","","","","11.7","4377","108","229","27.9","112","22.3","4.9","14.4","1.58","6.88","1.07","2.41","0.32","1.93","0.26","7.6","0.72","","0.000054","0.000008","","","","","","69","","60","6.7","","","","0.713877","","","","","","","","","","","0.1953","","0.69","","","","","","","","1013365",
"[20034]","CONVERGENT MARGIN","MEXICAN VOLCANIC BELTS / TRANS MEXICAN VOLCANIC BELT / MORELOS / CHICHINAUTZIN VOLCANIC FIELD","SANTA CRUZ, WESTERN SIERRA CHICHINAUTZIN VOLCANIC FIELD","19.1717","19.1717","-99.4956","-99.4956","SAE","2610","2610","s_MX11 [20034]","BASALTIC-TRACHYANDESITE [20034]","","","","","","","","","VOL","","","","","WR [20034] ","55.1","1.05","","14.3","","3.6","2.68","","9.12","6.01","0.11","","3.21","3.5","0.81","","","","","","","","","","","","","","","","0.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","152","192","","","24","123","48","101","","","","","","60","1807","30","216","10","","","","","","","","","","","","","2690","104","251","","146","","","","","","","","","","","","","","","","","","","","","26","","14","","","","","","","","","","","","","","","","","","","","","","","","","","1014168",
"[20034]","CONVERGENT MARGIN","MEXICAN VOLCANIC BELTS / TRANS MEXICAN VOLCANIC BELT / MORELOS / CHICHINAUTZIN VOLCANIC FIELD","VOLCAN NEGRO, WESTERN SIERRA CHICHINAUTZIN VOLCANIC FIELD","19.1631","19.1631","-99.3767","-99.3767","SAE","3040","3040","s_MX22 [20034]","BASALTIC-TRACHYANDESITE [20034]","","","","","","","","","VOL","","","","","WR [20034] ","53.3","1.58","","16.2","","3.68","5.08","","7.55","6.24","0.15","","1.34","4.04","0.42","","","","","","","","","","","","","","","","0.48","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","150","310","","","32","131","30","94","","","","","","24","780","32","238","20","","","","","","","","","","","","","612","35","84","","46","","","","","","","","","","","","","","","","","","","","","5","","6","","","","","","","","","","","","","","","","","","","","","","","","","","1014172",
"[20034]","CONVERGENT MARGIN","MEXICAN VOLCANIC BELTS / TRANS MEXICAN VOLCANIC BELT / MORELOS / CHICHINAUTZIN VOLCANIC FIELD","VOLCAN NEGRO, WESTERN SIERRA CHICHINAUTZIN VOLCANIC FIELD","19.17","19.17","-99.3822","-99.3822","SAE","3010","3010","s_MX23 [20034]","BASALTIC-TRACHYANDESITE [20034]","","","","","","","","","VOL","","","","","WR [20034] ","54","1.56","","16.2","","3.22","5.2","","7.48","6.11","0.14","","1.4","4.1","0.41","","","","","","","","","","","","","","","","0.16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","144","287","","","31","109","34","91","","","","","","26","771","26","230","17","","","","","","","","","","","","","607","33","85","","48","","","","","","","","","","","","","","","","","","","","","5","","3","","","","","","","","","","","","","","","","","","","","","","","","","","1014173",
"[20034]","CONVERGENT MARGIN","MEXICAN VOLCANIC BELTS / TRANS MEXICAN VOLCANIC BELT / MORELOS / CHICHINAUTZIN VOLCANIC FIELD","SANTA CRUZ, WESTERN SIERRA CHICHINAUTZIN VOLCANIC FIELD","19.1717","19.1717","-99.4956","-99.4956","SAE","2612","2612","s_D-10 [20034]","BASALTIC-TRACHYANDESITE [20034]","","","","","","","","","VOL","","","","","WR [20034] ","55.1","1","","13.9","","","","6.87","9.29","5.33","0.12","","3.15","3.37","0.86","","","","","","","","","","","","","","","","0.54","","","","","","","","","","","","","","","","","","","","","","","","","","","","16","","147","171","","","21.2","103","40","92","19","","","","","59","1830","37","279","8.8","","","","","","","","","","","","1.7","2951","113","229","31.2","135","26.5","6.4","17.4","2","8.5","1.24","3.06","0.39","2.35","0.33","7.6","0.5","","","","","","","","","23","","14.7","4.2","0.51295","","","0.70456","","","","","","","","","","","","","","","","","","","","","1014209",
"[17986]","INTRAPLATE VOLCANICS","CENTRAL ASIAN FOLDBELT - MESOZOIC / CHINA - MESOZOIC / JILIN PROVINCE / ERGULAZI FORMATION","LINJIANG REGION","42","42","127","127","SAE","","","s_TH7-18 [17986]","BASALTIC-TRACHYANDESITE [17986]","","","LOWER [17986]","CRETACEOUS [17986]","","","","","VOL","","","","","WR [17986] ","53.35","1.28","","17.96","","","","6.13","4.61","4.79","0.12","","3.36","3.93","0.33","","","","","","","","","","","","","","","","3.46","","","","","","","","","","","","","","","1.46","","","","","","","","","","","","","11.5","","111","115","","","22.4","86.5","33.9","65.6","17.1","","","","","68.7","1123","20.4","185","6.49","","","","","","","","","","","","3.61","1857","29.3","60.4","7.51","30.7","6.4","2.1","5.68","0.81","4.56","0.88","2.27","0.29","2.01","0.29","5.11","0.6","","","","","","","","","12","","7.5","2.09","0.512449","","","0.705572","","","","","","","","","","","","","","","","","","","","","1017216",
"[17986]","INTRAPLATE VOLCANICS","CENTRAL ASIAN FOLDBELT - MESOZOIC / CHINA - MESOZOIC / JILIN PROVINCE / ERGULAZI FORMATION","LINJIANG REGION","42","42","127","127","SAE","","","s_TH7-21 [17986]","BASALTIC-TRACHYANDESITE [17986]","","","LOWER [17986]","CRETACEOUS [17986]","","","","","VOL","","","","","WR [17986] ","52.54","1.15","","16.46","","","","6.69","5.79","5.54","0.1","","0.71","5.59","0.25","","","","","","","","","","","","","","","","4.58","","","","","","","","","","","","","","","1.09","","","","","","","","","","","","","15.3","","123","104","","","27.3","62.7","25","68.6","16.2","","","","","22","1178","20","141","4.54","","","","","","","","","","","","4.46","521","16.7","38.8","5.16","22.1","5.78","1.64","4.76","0.79","4.36","0.92","2.28","0.33","2.2","0.3","4.22","0.4","","","","","","","","","9.2","","3.19","1.31","","","","","","","","","","","","","","","","","","","","","","","","","1017218",
"[4698]","CONVERGENT MARGIN","MEXICAN VOLCANIC BELTS / TRANS MEXICAN VOLCANIC BELT / JALISCO / AYUTLA","","20.1185","20.1185","-104.074","-104.074","SAE","","","s_AY-500 [4698]","BASALTIC-TRACHYANDESITE [4698]","","","","","","","","","VOL","","","","","WR [4698] ","55.81","0.81","","15.9","","","","5.41","8.42","3.48","0.11","","2.49","3.48","0.53","","","","","","","","","","","","","","","","3.64","","","","","","","","","","","","","","","","","","","","","","","","","","","","16","","125","86","","","","106","18","92","19","","","","","44","1382","13","228","7.8","","","","","","","","","","","","","1058","26","56","","","","","","","","","","","","","","","","","","","","","","","11","","2","","","","","","","","","","","","","","","","","","","","","","","","","","102061",
"[4698]","CONVERGENT MARGIN","MEXICAN VOLCANIC BELTS / TRANS MEXICAN VOLCANIC BELT / JALISCO / AYUTLA","","20.2282","20.2282","-104.2168","-104.2168","SAE","","","s_AY-505 [4698]","BASALTIC-TRACHYANDESITE [4698]","","","","","","","","","VOL","","","","","WR [4698] ","53.52","1","","15.63","","","","6.42","7.69","7.35","0.108","","2.98","3.95","0.5","","","","","","","","","","","","","","","","0.66","","","","","","","","","","","","","","","","","","","","","","","","","","","","24","","167","142","","","","167","36","79","22","","","","","34","1502","18","218","6.6","","","","","","","","","","","","","1149","25","75","","","","","","","","","","","","","","","","","","","","","","","13","","6","","","","","","","","","","","","","","","","","","","","","","","","","","102063",
"[4698]","CONVERGENT MARGIN","MEXICAN VOLCANIC BELTS / TRANS MEXICAN VOLCANIC BELT / JALISCO / AYUTLA","","20.1446","20.1446","-104.314","-104.314","SAE","","","s_AY-508 [4698]","BASALTIC-TRACHYANDESITE [4698]","","","","","","","","","VOL","","","","","WR [4698] ","52.65","1.14","","14.38","","","","7.06","7.81","8.28","0.1","","1.81","4.82","0.7","","","","","","","","","","","","","","","","1.7","","","","","","","","","","","","","","","","","","","","","","","","","","","","19","","167","316","","","","217","43","118","24","","","","","69","1956","15","228","11.6","","","","","","","","","","","","","1655","47","95","","","","","","","","","","","","","","","","","","","","","","","13","","4","","","","","","","","","","","","","","","","","","","","","","","","","","102064",
